name,normalized_name,prefecture,city,address,postal_code,latitude,longitude,phone_number,website_url,opening_hours,source,source_id,source_url
サウナモンキー名古屋,サウナモンキー名古屋,愛知県,,,,35.1677764,136.8870969,,,,openstreetmap,node/4269770592,https://www.openstreetmap.org/node/4269770592
ドーミーインPREMIUM名古屋栄,ドーミーインpremium名古屋栄,愛知県,,,,35.1692388,136.9011339,,,,openstreetmap,node/4461543790,https://www.openstreetmap.org/node/4461543790
ウェルビー栄,ウェルビー栄,愛知県,,,,35.166386,136.9056988,,,,openstreetmap,node/11431920369,https://www.openstreetmap.org/node/11431920369
SAUNA.,sauna.,愛知県,,,,35.1651528,136.9030406,,,,openstreetmap,node/11431920469,https://www.openstreetmap.org/node/11431920469
SaunaLab Nagoya,saunalabnagoya,愛知県,,,,35.1668788,136.9040976,,,,openstreetmap,node/11431920569,https://www.openstreetmap.org/node/11431920569
KIWAMISAUNA,kiwamisauna,愛知県,,,,35.1851955,136.8902642,,,,openstreetmap,node/11433594770,https://www.openstreetmap.org/node/11433594770
SENSE sauna,sensesauna,愛知県,,,,35.1734302,136.8873185,,,,openstreetmap,node/11433599569,https://www.openstreetmap.org/node/11433599569
サウナピア,サウナピア,愛知県,,,,34.7415132,137.3476709,,,,openstreetmap,node/11493056069,https://www.openstreetmap.org/node/11493056069
湯〜とぴあ宝,湯〜とぴあ宝,愛知県,,,,35.0925245,136.926796,,,,openstreetmap,node/11495859569,https://www.openstreetmap.org/node/11495859569
So You,soyou,愛知県,,,,35.1150159,136.9251961,,,,openstreetmap,node/11499300669,https://www.openstreetmap.org/node/11499300669
SAUNA ROUTINE,saunaroutine,愛知県,,,,35.1763975,136.8969635,,,,openstreetmap,node/11553383769,https://www.openstreetmap.org/node/11553383769
比良温泉,比良温泉,愛知県,,,,35.230587,136.8961103,,,,openstreetmap,node/11629230869,https://www.openstreetmap.org/node/11629230869
Apeze-アペゼ,apeze-アペゼ,愛知県,,,,35.167707,136.9371237,,,,openstreetmap,way/150454524,https://www.openstreetmap.org/way/150454524
ウェルビー今池,ウェルビー今池,愛知県,,,,35.1664996,136.9384445,,,24/7,openstreetmap,way/150454548,https://www.openstreetmap.org/way/150454548
