name,normalized_name,prefecture,city,address,postal_code,latitude,longitude,phone_number,website_url,opening_hours,source,source_id,source_url
桜ヶ丘温泉,桜ヶ丘温泉,青森県,弘前市,青森県弘前市大字桜ヶ丘423,036-8241,40.5750139,140.452157,0172-88-0500,,We-Mo 10:00-21:00,openstreetmap,node/5278492822,https://www.openstreetmap.org/node/5278492822
長寿乃湯,長寿乃湯,青森県,,,,40.4993106,141.480548,,,,openstreetmap,node/5406797939,https://www.openstreetmap.org/node/5406797939
ニュー朝日湯,ニュー朝日湯,青森県,,,,40.5057481,141.4940348,,,,openstreetmap,node/5421931623,https://www.openstreetmap.org/node/5421931623
八戸中央温泉 たまご湯,八戸中央温泉たまご湯,青森県,,,,40.5169742,141.5018899,,,,openstreetmap,node/5424073737,https://www.openstreetmap.org/node/5424073737
みどり温泉,みどり温泉,青森県,,,,40.5153577,141.5043714,,,,openstreetmap,node/5424097627,https://www.openstreetmap.org/node/5424097627
りんごの湯,りんごの湯,青森県,,,,40.5409064,141.4832981,,,,openstreetmap,node/5432434922,https://www.openstreetmap.org/node/5432434922
タカラの湯,タカラの湯,青森県,,,,40.8690509,141.1155904,,,,openstreetmap,node/5541792365,https://www.openstreetmap.org/node/5541792365
若葉温泉,若葉温泉,青森県,,,,40.8685243,141.1311693,,,,openstreetmap,node/5541792527,https://www.openstreetmap.org/node/5541792527
桂温泉,桂温泉,青森県,,,,40.6913439,141.3756952,+81 176 57 4335,,Mo-Su 05:00-23:00,openstreetmap,node/6984204215,https://www.openstreetmap.org/node/6984204215
平畑温泉,平畑温泉,青森県,,,,40.6945704,141.3703421,+81 186 57 4045,,,openstreetmap,node/6984204217,https://www.openstreetmap.org/node/6984204217
大黒湯,大黒湯,青森県,,,,40.609456,141.2093043,,,,openstreetmap,node/7142415309,https://www.openstreetmap.org/node/7142415309
十和田温泉,十和田温泉,青森県,,,,40.6082496,141.214448,,,,openstreetmap,node/7142416239,https://www.openstreetmap.org/node/7142416239
みちのく温泉,みちのく温泉,青森県,,,,40.6176335,141.2185307,,,,openstreetmap,node/7148544810,https://www.openstreetmap.org/node/7148544810
せせらぎ温泉,せせらぎ温泉,青森県,,,,40.5888921,141.2396218,+81 176 22 1112,,,openstreetmap,node/7168774798,https://www.openstreetmap.org/node/7168774798
天然温泉 まつのゆ,天然温泉まつのゆ,青森県,,,,40.7319837,141.2599009,,,,openstreetmap,node/7168774821,https://www.openstreetmap.org/node/7168774821
玉勝温泉,玉勝温泉,青森県,,,,40.7311272,141.266724,,,,openstreetmap,node/7168779392,https://www.openstreetmap.org/node/7168779392
極楽湯 青森店,極楽湯青森店,青森県,,,,40.7974468,140.7418707,,,,openstreetmap,node/7168788725,https://www.openstreetmap.org/node/7168788725
トド湯,トド湯,青森県,,,,40.8274083,140.7589674,,,,openstreetmap,node/7226623904,https://www.openstreetmap.org/node/7226623904
青森なかまちおんせん,青森なかまちおんせん,青森県,,,,40.8246843,140.7353961,,,,openstreetmap,node/7226679110,https://www.openstreetmap.org/node/7226679110
大福温泉,大福温泉,青森県,,,,40.8109292,140.723071,,,,openstreetmap,node/7241647305,https://www.openstreetmap.org/node/7241647305
みちのく浴場,みちのく浴場,青森県,,,,40.8097891,140.7320899,,,,openstreetmap,node/7241662690,https://www.openstreetmap.org/node/7241662690
湯楽園,湯楽園,青森県,,,,40.7987268,140.7278278,,,,openstreetmap,node/7241666288,https://www.openstreetmap.org/node/7241666288
桂木温泉,桂木温泉,青森県,,,,40.8101507,140.7440163,,,,openstreetmap,node/7273447385,https://www.openstreetmap.org/node/7273447385
油川温泉,油川温泉,青森県,,,,40.8567146,140.6944641,,,,openstreetmap,node/7562259827,https://www.openstreetmap.org/node/7562259827
沖館温泉,沖館温泉,青森県,,,,40.8307042,140.7178511,,,,openstreetmap,node/7562261288,https://www.openstreetmap.org/node/7562261288
日の出湯,日の出湯,青森県,,,,40.8539066,140.6891075,,,,openstreetmap,node/7562261295,https://www.openstreetmap.org/node/7562261295
あおもり健康ランド,あおもり健康ランド,青森県,,,,40.834427,140.6920417,,,,openstreetmap,node/7602249308,https://www.openstreetmap.org/node/7602249308
さんない温泉 三内ヘルスセンター,さんない温泉三内ヘルスセンター,青森県,,,,40.815104,140.6863544,,,,openstreetmap,node/7602274889,https://www.openstreetmap.org/node/7602274889
