name,normalized_name,prefecture,city,address,postal_code,latitude,longitude,phone_number,website_url,opening_hours,source,source_id,source_url
大和湯,大和湯,千葉県,,,,35.5928329,140.1217062,,,Fr-We 15:30-22:00,openstreetmap,node/391117006,https://www.openstreetmap.org/node/391117006
ドーミーイン千葉City Soga,ドーミーイン千葉citysoga,千葉県,,,,35.5812669,140.13285,,,,openstreetmap,node/2681634301,https://www.openstreetmap.org/node/2681634301
滝の湯,滝の湯,千葉県,,,,35.7133297,139.9470971,,,Tu-Su 14:00-22:30,openstreetmap,node/3125755917,https://www.openstreetmap.org/node/3125755917
ジートピア,ジートピア,千葉県,船橋市,千葉県船橋市本町5-18-1,273-0005,35.7016455,139.9886352,,https://www.funabashi-sauna.com,,openstreetmap,node/3149055283,https://www.openstreetmap.org/node/3149055283
下花輪福祉会館 ほっとプラザ下花輪,下花輪福祉会館ほっとプラザ下花輪,千葉県,,,,35.87498,139.900954,,https://www.city.nagareyama.chiba.jp/institution/1004205/1004211/1004237.html,Mo-Su 10:00-21:00,openstreetmap,node/5624787121,https://www.openstreetmap.org/node/5624787121
市川湯,市川湯,千葉県,,,,35.7298938,139.9026245,,,,openstreetmap,node/6359681785,https://www.openstreetmap.org/node/6359681785
朝日湯,朝日湯,千葉県,,,,35.7327414,139.9029117,,,Su-Fr 15:30-00:00,openstreetmap,node/6477069187,https://www.openstreetmap.org/node/6477069187
柳湯,柳湯,千葉県,,,,35.7175196,139.9301901,,,We-Mo 15:00-00:00,openstreetmap,node/6477069188,https://www.openstreetmap.org/node/6477069188
浜町浴場,浜町浴場,千葉県,,,,35.689371,139.99319,,,We-Mo 15:00-00:00,openstreetmap,node/6477069191,https://www.openstreetmap.org/node/6477069191
第二平和湯,第二平和湯,千葉県,,,,35.5966304,140.1283985,,,Tu-Su 15:00-22:00,openstreetmap,node/6477069194,https://www.openstreetmap.org/node/6477069194
湯パーク南柏,湯パーク南柏,千葉県,,,,35.8461183,139.9550277,,,Mo-Su 14:00-23:30,openstreetmap,node/6477071185,https://www.openstreetmap.org/node/6477071185
桔梗湯,桔梗湯,千葉県,,,,35.7131652,139.942952,,,Fr-Tu 15:30-22:00,openstreetmap,node/6477071387,https://www.openstreetmap.org/node/6477071387
湊湯,湊湯,千葉県,,,,35.6905219,139.980627,,,Mo-Su 14:30-00:00,openstreetmap,node/6477073086,https://www.openstreetmap.org/node/6477073086
クアパレス,クアパレス,千葉県,,,,35.7134167,140.0472183,,,Mo-Su 15:00-00:30,openstreetmap,node/6564662185,https://www.openstreetmap.org/node/6564662185
松戸ヘルスランド,松戸ヘルスランド,千葉県,,,,35.7900197,139.9301601,,,24/7,openstreetmap,node/6658040885,https://www.openstreetmap.org/node/6658040885
馬橋湯,馬橋湯,千葉県,,,,35.8108056,139.9177345,,,Fr-Tu 15:00-23:00,openstreetmap,node/6731961785,https://www.openstreetmap.org/node/6731961785
ゆープラザ,ゆープラザ,千葉県,,,,35.7254627,139.9545777,,,Tu-Su 16:00-23:30,openstreetmap,node/6951279885,https://www.openstreetmap.org/node/6951279885
鈴の湯,鈴の湯,千葉県,,,,35.6599918,140.0615315,,,"Tu, Th-Su 15:00-21:00",openstreetmap,node/7100704785,https://www.openstreetmap.org/node/7100704785
石の湯,石の湯,千葉県,,,,35.5952918,140.1205248,,,Tu-Su 14:00-20:00,openstreetmap,node/7170978886,https://www.openstreetmap.org/node/7170978886
平和湯ランド,平和湯ランド,千葉県,,,,35.7919416,139.9662864,,,Th-Tu 15:00-23:30,openstreetmap,node/7184129885,https://www.openstreetmap.org/node/7184129885
若宮 松の湯,若宮松の湯,千葉県,,,,35.7252684,139.9504312,,,We-Mo 16:00-23:00,openstreetmap,node/7532916585,https://www.openstreetmap.org/node/7532916585
小金バスランド,小金バスランド,千葉県,,,,35.8297631,139.9334372,,,Th-Tu 15:00-23:00,openstreetmap,node/7572454585,https://www.openstreetmap.org/node/7572454585
宮の湯,宮の湯,千葉県,,,,35.6984727,139.9932709,,,Mo-Su 15:30-23:00,openstreetmap,node/7600047289,https://www.openstreetmap.org/node/7600047289
ゆあみランド,ゆあみランド,千葉県,,,,35.6532779,140.0757588,,,Fr-We 15:00-21:00,openstreetmap,node/7655489986,https://www.openstreetmap.org/node/7655489986
松の湯,松の湯,千葉県,,,,35.6323879,140.0893751,,,Tu-Su 15:30-21:00,openstreetmap,node/8148401317,https://www.openstreetmap.org/node/8148401317
スーパー銭湯白旗,スーパー銭湯白旗,千葉県,,,,35.5777515,140.1404252,,,Th-Tu 14:00-23:00,openstreetmap,node/8880415217,https://www.openstreetmap.org/node/8880415217
幕張温泉 湯楽の里,幕張温泉湯楽の里,千葉県,,,,35.6360013,140.0395746,,https://www.yurakirari.com/makuhari/,,openstreetmap,node/9136959916,https://www.openstreetmap.org/node/9136959916
船橋グランドサウナカプセルホテル,船橋グランドサウナカプセルホテル,千葉県,,,,35.7012367,139.987065,047-422-2266,,,openstreetmap,node/10930811208,https://www.openstreetmap.org/node/10930811208
宮の湯,宮の湯,千葉県,,,,35.3794489,139.9244157,,,Th-Tu 14:00-22:00,openstreetmap,way/987843772,https://www.openstreetmap.org/way/987843772
スパメッツァおおたか,スパメッツァおおたか,千葉県,,,,35.8731691,139.9227889,,https://www.ryusenjinoyu.com/spametsaotaka/,Mo-Su 06:00-02:00,openstreetmap,way/1100968985,https://www.openstreetmap.org/way/1100968985
