name,normalized_name,prefecture,city,address,postal_code,latitude,longitude,phone_number,website_url,opening_hours,source,source_id,source_url
有馬温泉 太閤の湯,有馬温泉太閤の湯,兵庫県,神戸市,兵庫県神戸市北区有馬町池の尻2922,651-1401,34.7978125,135.2511563,,https://www.taikounoyu.com/,,openstreetmap,node/2921394250,https://www.openstreetmap.org/node/2921394250
るるどin尼崎,るるどin尼崎,兵庫県,,,,34.7204189,135.4399456,,https://www.rurudo6161.jp/,,openstreetmap,node/9722758030,https://www.openstreetmap.org/node/9722758030
六甲おとめ塚温泉,六甲おとめ塚温泉,兵庫県,,,,34.7157932,135.2463242,,,,openstreetmap,node/11634306370,https://www.openstreetmap.org/node/11634306370
水木湯,水木湯,兵庫県,,,,34.6758845,135.1669908,,,,openstreetmap,node/11634505070,https://www.openstreetmap.org/node/11634505070
湊河湯,湊河湯,兵庫県,,,,34.68172,135.1637053,,,,openstreetmap,node/11634638869,https://www.openstreetmap.org/node/11634638869
芦原温泉,芦原温泉,兵庫県,,,,34.6849001,135.1624205,,,,openstreetmap,node/11634687369,https://www.openstreetmap.org/node/11634687369
第一平和温泉,第一平和温泉,兵庫県,,,,34.6723393,135.1582399,,,,openstreetmap,node/11634696470,https://www.openstreetmap.org/node/11634696470
宮島温泉,宮島温泉,兵庫県,,,,34.6703994,135.1570154,,,,openstreetmap,node/11634713969,https://www.openstreetmap.org/node/11634713969
ゆぇ〜ぶ・なぐら,ゆぇ〜ぶ・なぐら,兵庫県,,,,34.6782563,135.1463654,,,,openstreetmap,node/11634755669,https://www.openstreetmap.org/node/11634755669
あさぎり湯,あさぎり湯,兵庫県,,,,34.6691412,135.133266,,,Tu-Su 14:00-23:00,openstreetmap,node/11634755769,https://www.openstreetmap.org/node/11634755769
萬歳湯,萬歳湯,兵庫県,,,,34.6548953,135.1480912,,,,openstreetmap,node/11636780169,https://www.openstreetmap.org/node/11636780169
菊水温泉,菊水温泉,兵庫県,,,,34.6529101,135.1461272,,,,openstreetmap,node/11636784069,https://www.openstreetmap.org/node/11636784069
扇港湯,扇港湯,兵庫県,,,,34.651902,135.1481328,,,,openstreetmap,node/11636785169,https://www.openstreetmap.org/node/11636785169
本庄湯,本庄湯,兵庫県,,,,34.6487148,135.1392655,,,,openstreetmap,node/11636787569,https://www.openstreetmap.org/node/11636787569
ゆうゆうらんど紀の国,ゆうゆうらんど紀の国,兵庫県,,,,34.6487335,135.1433033,,,,openstreetmap,node/11636787570,https://www.openstreetmap.org/node/11636787570
白鶴温泉,白鶴温泉,兵庫県,,,,34.7179731,135.4248593,,,,openstreetmap,node/11637186469,https://www.openstreetmap.org/node/11637186469
ほっこり湯,ほっこり湯,兵庫県,,,,34.784303,135.3576152,,,,openstreetmap,node/11637662769,https://www.openstreetmap.org/node/11637662769
極楽湯,極楽湯,兵庫県,,,,34.830608,135.4163159,,,,openstreetmap,node/11637669569,https://www.openstreetmap.org/node/11637669569
丸吉湯,丸吉湯,兵庫県,,,,34.5983205,135.0106206,,,,openstreetmap,node/11637761669,https://www.openstreetmap.org/node/11637761669
東光湯,東光湯,兵庫県,,,,34.3403869,134.8925434,,,,openstreetmap,node/11637853569,https://www.openstreetmap.org/node/11637853569
増田湯,増田湯,兵庫県,,,,34.2882375,134.9463255,,,,openstreetmap,node/11637861069,https://www.openstreetmap.org/node/11637861069
東湯,東湯,兵庫県,,,,34.6453387,135.0023957,,,,openstreetmap,node/11637868269,https://www.openstreetmap.org/node/11637868269
森の湯,森の湯,兵庫県,,,,34.8241968,134.6941358,,,,openstreetmap,node/11648925069,https://www.openstreetmap.org/node/11648925069
憩いの湯,憩いの湯,兵庫県,,,,34.8325259,134.6983714,,https://ikoinoyuhimeji.wixsite.com/ikoi,,openstreetmap,node/11648942669,https://www.openstreetmap.org/node/11648942669
明和温泉,明和温泉,兵庫県,,,,34.8425271,134.7045701,,,,openstreetmap,node/11648995569,https://www.openstreetmap.org/node/11648995569
新鶴湯,新鶴湯,兵庫県,,,,34.7994817,134.6354929,,,,openstreetmap,node/11649056277,https://www.openstreetmap.org/node/11649056277
華楽の湯,華楽の湯,兵庫県,,,,34.8206862,134.6892197,,,,openstreetmap,node/12345948341,https://www.openstreetmap.org/node/12345948341
ドーミーイン神戸元町,ドーミーイン神戸元町,兵庫県,神戸市,兵庫県神戸市中央区栄町通2-5-1,650-0023,34.687558,135.1878313,+81 78 393 5489,,,openstreetmap,way/318356519,https://www.openstreetmap.org/way/318356519
銀の湯,銀の湯,兵庫県,神戸市,兵庫県神戸市北区有馬町10391,651-1401,34.7955092,135.2490108,078-904-0256,https://www.feel-kobe.jp/,,openstreetmap,way/362697676,https://www.openstreetmap.org/way/362697676
湯あそびひろば七松温泉,湯あそびひろば七松温泉,兵庫県,,七松町一丁目206,660-0052,34.7341812,135.3989128,+81-6-6416-3639,http://www.nanamatsu-onsen.com/,"06:00-23:59, 00:00-02:00; We[3] off",openstreetmap,way/370308895,https://www.openstreetmap.org/way/370308895
