name,normalized_name,prefecture,city,address,postal_code,latitude,longitude,phone_number,website_url,opening_hours,source,source_id,source_url
みちのくいやしの湯,みちのくいやしの湯,岩手県,北上市,岩手県北上市,,39.3025769,141.1286266,,,,openstreetmap,node/5436886923,https://www.openstreetmap.org/node/5436886923
ほっとゆだ 足湯っこ,ほっとゆだ足湯っこ,岩手県,,,,39.3145241,140.7764681,,,,openstreetmap,node/5733814621,https://www.openstreetmap.org/node/5733814621
スパドーム,スパドーム,岩手県,,,,40.32137,141.3169808,,,,openstreetmap,node/11656179269,https://www.openstreetmap.org/node/11656179269
新山根温泉 べっぴんの湯,新山根温泉べっぴんの湯,岩手県,,,,40.0825495,141.7057479,,,,openstreetmap,node/11656354969,https://www.openstreetmap.org/node/11656354969
平泉温泉 悠久の湯,平泉温泉悠久の湯,岩手県,,,,38.9909651,141.110808,,,,openstreetmap,way/160311040,https://www.openstreetmap.org/way/160311040
古戦場,古戦場,岩手県,,,,38.9393305,141.1073393,,,,openstreetmap,way/463067572,https://www.openstreetmap.org/way/463067572
桃の湯,桃の湯,岩手県,,,,38.950419,141.1070117,,,,openstreetmap,way/528637932,https://www.openstreetmap.org/way/528637932
鉛温泉 藤三旅館,鉛温泉藤三旅館,岩手県,,,,39.4654637,140.9918748,+81 198 25 2311,,,openstreetmap,way/550032982,https://www.openstreetmap.org/way/550032982
胆沢川温泉 さくらの湯,胆沢川温泉さくらの湯,岩手県,,,,39.1643823,141.0904563,,,,openstreetmap,way/685695482,https://www.openstreetmap.org/way/685695482
舞鶴の湯,舞鶴の湯,岩手県,,,,39.0300124,141.1086649,,,,openstreetmap,way/685835071,https://www.openstreetmap.org/way/685835071
珠玉の湯 薬師堂温泉,珠玉の湯薬師堂温泉,岩手県,,,,39.1727447,141.1392764,,,,openstreetmap,way/762987183,https://www.openstreetmap.org/way/762987183
ドーミーイン盛岡,ドーミーイン盛岡,岩手県,,,,39.7053403,141.1445541,+81 19 622 5489,,,openstreetmap,way/1360288233,https://www.openstreetmap.org/way/1360288233
