name,normalized_name,prefecture,city,address,postal_code,latitude,longitude,phone_number,website_url,opening_hours,source,source_id,source_url
サウナトーホー,サウナトーホー,神奈川県,,,,35.2779338,139.674688,,,,openstreetmap,node/4380654027,https://www.openstreetmap.org/node/4380654027
恵びす温泉,恵びす温泉,神奈川県,,,,35.4400684,139.6453406,,,Mo-Su 11:00-01:00,openstreetmap,node/6091381485,https://www.openstreetmap.org/node/6091381485
菊の湯,菊の湯,神奈川県,,,,35.4903434,139.447645,,,Fr-We 15:00-00:00,openstreetmap,node/6359673387,https://www.openstreetmap.org/node/6359673387
上星川浴場,上星川浴場,神奈川県,,,,35.4682723,139.5789172,,,Tu-Su 14:30-22:30,openstreetmap,node/6366979787,https://www.openstreetmap.org/node/6366979787
朝日湯,朝日湯,神奈川県,,,,35.4955228,139.6688589,,,Mo-Su 15:00-23:00,openstreetmap,node/6466725986,https://www.openstreetmap.org/node/6466725986
記念湯,記念湯,神奈川県,,,,35.4570003,139.6200602,,,Tu-Su 15:00-00:00,openstreetmap,node/6467586386,https://www.openstreetmap.org/node/6467586386
栄湯湘南館,栄湯湘南館,神奈川県,,,,35.3841252,139.4719156,,,We-Mo 15:00-23:00,openstreetmap,node/6467586388,https://www.openstreetmap.org/node/6467586388
永楽湯,永楽湯,神奈川県,,,,35.4377237,139.6313885,,,Mo-Su 15:30-00:00,openstreetmap,node/6467586487,https://www.openstreetmap.org/node/6467586487
日の出おふろセンター,日の出おふろセンター,神奈川県,,,,35.5304715,139.7363876,,,Mo-Su 11:00-23:00,openstreetmap,node/7071410085,https://www.openstreetmap.org/node/7071410085
寿湯,寿湯,神奈川県,,,,35.517071,139.6834276,,,Mo-Su 14:00-23:30,openstreetmap,node/7263310886,https://www.openstreetmap.org/node/7263310886
山陽館,山陽館,神奈川県,,,,35.5190622,139.7064703,,,Mo-Su 13:40-00:00,openstreetmap,node/7502787685,https://www.openstreetmap.org/node/7502787685
今井湯,今井湯,神奈川県,,,,35.5697797,139.6554633,,,Mo-Su 15:00-00:00,openstreetmap,node/7652723891,https://www.openstreetmap.org/node/7652723891
徳の湯,徳の湯,神奈川県,,,,35.4828539,139.628975,,,Fr-We 11:00-23:00,openstreetmap,node/7777266986,https://www.openstreetmap.org/node/7777266986
睦湯,睦湯,神奈川県,,,,35.5403095,139.6858273,,,Mo-Su 13:45-23:00,openstreetmap,node/7817049086,https://www.openstreetmap.org/node/7817049086
橘湯,橘湯,神奈川県,,,,35.562082,139.6627772,,,We-Mo 15:00-22:50,openstreetmap,node/7988810786,https://www.openstreetmap.org/node/7988810786
多賀良湯,多賀良湯,神奈川県,,,,35.5516303,139.6810249,,,Tu-Su 14:00-23:00,openstreetmap,node/8032206385,https://www.openstreetmap.org/node/8032206385
富士見湯,富士見湯,神奈川県,,,,35.3417353,139.4830043,,,Fr-We 15:00-23:00,openstreetmap,node/8088182322,https://www.openstreetmap.org/node/8088182322
鷲の湯,鷲の湯,神奈川県,,,,35.486995,139.6447638,,,Mo-Su 11:00-00:30,openstreetmap,node/8124131917,https://www.openstreetmap.org/node/8124131917
松の湯,松の湯,神奈川県,,,,35.5648475,139.6139395,,,Tu-Su 14:00-00:00,openstreetmap,node/8302477817,https://www.openstreetmap.org/node/8302477817
小山湯,小山湯,神奈川県,,,,35.4373382,139.6400982,,,Mo-Su 11:00-23:00,openstreetmap,node/8422753619,https://www.openstreetmap.org/node/8422753619
小松湯,小松湯,神奈川県,,,,35.5242512,139.7163927,,,Mo-Su 13:00-02:00,openstreetmap,node/8422777022,https://www.openstreetmap.org/node/8422777022
中村浴場,中村浴場,神奈川県,,,,35.4349829,139.6320719,,,Mo-Su 15:30-23:00,openstreetmap,node/8425645318,https://www.openstreetmap.org/node/8425645318
やすらぎ温泉,やすらぎ温泉,神奈川県,,,,35.259293,139.6542246,,,Th-Tu 12:30-23:00,openstreetmap,node/8479204217,https://www.openstreetmap.org/node/8479204217
福美湯,福美湯,神奈川県,,,,35.5130947,139.6314582,,,Tu-Su 15:00-23:00,openstreetmap,node/8486120819,https://www.openstreetmap.org/node/8486120819
美和乃湯,美和乃湯,神奈川県,,,,35.5190593,139.7023375,,,Mo-Su 14:30-23:30,openstreetmap,node/8831616517,https://www.openstreetmap.org/node/8831616517
竹の湯,竹の湯,神奈川県,,,,35.4931292,139.6678344,,,Mo-Su 15:00-23:00,openstreetmap,node/8880429118,https://www.openstreetmap.org/node/8880429118
アクアスポット ニュー松の湯,アクアスポットニュー松の湯,神奈川県,,,,35.315787,139.6304466,,,Mo-Su 14:00-22:30,openstreetmap,node/8883373817,https://www.openstreetmap.org/node/8883373817
