name,normalized_name,prefecture,city,address,postal_code,latitude,longitude,phone_number,website_url,opening_hours,source,source_id,source_url
白山湯,白山湯,京都府,,,,34.9941741,135.7567564,,,,openstreetmap,node/2990581133,https://www.openstreetmap.org/node/2990581133
京極湯,京極湯,京都府,,,,35.0261502,135.7437083,,,Mo-Su 15:00-00:00,openstreetmap,node/5549765523,https://www.openstreetmap.org/node/5549765523
寿湯,寿湯,京都府,,,,35.0167488,135.6878801,,,,openstreetmap,node/5583884627,https://www.openstreetmap.org/node/5583884627
桜湯,桜湯,京都府,,,,35.0177833,135.769568,+81 75 231 0491,,Tu-Su 16:30-23:00,openstreetmap,node/9843014774,https://www.openstreetmap.org/node/9843014774
松湯,松湯,京都府,,,,34.9777013,135.7645563,,,,openstreetmap,node/10316133710,https://www.openstreetmap.org/node/10316133710
鶴の湯,鶴の湯,京都府,,,,34.9436427,135.7575886,,,,openstreetmap,node/10746294142,https://www.openstreetmap.org/node/10746294142
上野湯,上野湯,京都府,,京都市北区紫野東泉堂町35,,35.047924,135.7422675,,,We-Mo 15:30-00:30,openstreetmap,node/10980676907,https://www.openstreetmap.org/node/10980676907
加茂温泉,加茂温泉,京都府,,京都市北区小山西元町45,,35.0491816,135.7548862,,,Th-Mo 09:00-18:00,openstreetmap,node/10980867705,https://www.openstreetmap.org/node/10980867705
金閣寺湯,金閣寺湯,京都府,,京都市北区衣笠北天神森町34-1,,35.0376504,135.7331564,,,Tu-Su 14:00-01:00,openstreetmap,node/10980872206,https://www.openstreetmap.org/node/10980872206
大徳寺温泉,大徳寺温泉,京都府,,京都市北区紫竹西高縄町58,,35.0466841,135.7480529,,,,openstreetmap,node/10980957306,https://www.openstreetmap.org/node/10980957306
紫野温泉,紫野温泉,京都府,,京都市北区紫野上門前町16-1,,35.0445616,135.7478004,,,Th-Tu 15:00-02:00,openstreetmap,node/10980978605,https://www.openstreetmap.org/node/10980978605
むらさき湯,むらさき湯,京都府,,,,35.0402199,135.7522184,,,Tu-Su 15:00-00:30,openstreetmap,node/10980988105,https://www.openstreetmap.org/node/10980988105
門前温泉,門前温泉,京都府,,,,35.0428491,135.7484203,,,,openstreetmap,node/10981056905,https://www.openstreetmap.org/node/10981056905
大宮温泉,大宮温泉,京都府,,,,35.0366322,135.7490584,,,Fr-We 16:00-23:00,openstreetmap,node/10981057006,https://www.openstreetmap.org/node/10981057006
笠の湯,笠の湯,京都府,,,,35.0201805,135.7435059,,,,openstreetmap,node/10981057105,https://www.openstreetmap.org/node/10981057105
松葉湯,松葉湯,京都府,,,,35.0203246,135.7370882,,,Mo-Sa 15:00-00:00,openstreetmap,node/10981119106,https://www.openstreetmap.org/node/10981119106
白山湯,白山湯,京都府,,,,35.0262649,135.7499297,,,Sa-Th 16:00-23:00,openstreetmap,node/10981123305,https://www.openstreetmap.org/node/10981123305
