name,normalized_name,prefecture,city,address,postal_code,latitude,longitude,phone_number,website_url,opening_hours,source,source_id,source_url
サウナいしのまき,サウナいしのまき,宮城県,,,,38.4353655,141.3112981,+81 225 23 1636,,,openstreetmap,node/4662982389,https://www.openstreetmap.org/node/4662982389
駒の湯温泉,駒の湯温泉,宮城県,,,,38.9346131,140.8365858,+81 228 46 2110,http://komanoyu.net,Th-Tu 10:00-17:00,openstreetmap,node/4676423394,https://www.openstreetmap.org/node/4676423394
世界谷地温泉,世界谷地温泉,宮城県,,,,38.9118565,140.82048,+81 228 46 2031,,,openstreetmap,node/4676444891,https://www.openstreetmap.org/node/4676444891
福の湯,福の湯,宮城県,,,,38.7489821,140.7194819,+81 229 81 1570,http://naruko-fukunoyu.co.jp,Mo-Su 10:00-20:00,openstreetmap,node/4676449889,https://www.openstreetmap.org/node/4676449889
馬場の湯 公共浴場,馬場の湯公共浴場,宮城県,,,,38.7373967,140.7449469,,,,openstreetmap,node/4679792790,https://www.openstreetmap.org/node/4679792790
亀の湯,亀の湯,宮城県,,,,38.9076268,141.5759103,,,,openstreetmap,node/4782509921,https://www.openstreetmap.org/node/4782509921
駒の湯,駒の湯,宮城県,,,,38.2612792,140.8686104,+81 22-224-0543,,,openstreetmap,node/4994365426,https://www.openstreetmap.org/node/4994365426
大畑共同浴場,大畑共同浴場,宮城県,,,,38.7493328,140.7180017,,,,openstreetmap,node/5011210932,https://www.openstreetmap.org/node/5011210932
エステティックK,エステティックk,宮城県,,,,38.6753369,141.1862762,+81 220 58 5035,,,openstreetmap,node/5033922026,https://www.openstreetmap.org/node/5033922026
嵐の湯 新田東店,嵐の湯新田東店,宮城県,,,,38.2760715,140.9340735,+81 22 236 4114,,,openstreetmap,node/5068567531,https://www.openstreetmap.org/node/5068567531
足湯 かもしかの湯,足湯かもしかの湯,宮城県,,,,37.9889734,140.5649277,,,,openstreetmap,node/5114996121,https://www.openstreetmap.org/node/5114996121
岩盤温浴さくら 多賀城,岩盤温浴さくら多賀城,宮城県,,,,38.2912535,141.0391644,,,,openstreetmap,node/5255559823,https://www.openstreetmap.org/node/5255559823
喜代乃湯,喜代乃湯,宮城県,,,,38.2652151,140.8912303,,,,openstreetmap,node/5269547828,https://www.openstreetmap.org/node/5269547828
ストーンライフグリーン,ストーンライフグリーン,宮城県,,,,37.9780591,140.7841787,+81 224 61 1448,,,openstreetmap,node/6328455387,https://www.openstreetmap.org/node/6328455387
鬼首鬼首 せんとう目の湯,鬼首鬼首せんとう目の湯,宮城県,,,,38.7966443,140.6637421,+81 229 86 2262,,,openstreetmap,node/6463733695,https://www.openstreetmap.org/node/6463733695
花の湯,花の湯,宮城県,,,,38.2743612,140.8920408,+81 22 223 1521,https://hananoyu-nakaesendai.jimdo.com/,Tu-Su 15:00-21:30,openstreetmap,node/6715106392,https://www.openstreetmap.org/node/6715106392
青根温泉 名号舘,青根温泉名号舘,宮城県,,,,38.145825,140.5343895,,,,openstreetmap,node/8204491820,https://www.openstreetmap.org/node/8204491820
足湯 朝日の湯,足湯朝日の湯,宮城県,,,,38.1458797,140.5336749,,,,openstreetmap,node/8204491922,https://www.openstreetmap.org/node/8204491922
足湯 停車場の湯,足湯停車場の湯,宮城県,,,,38.1450953,140.5352371,,,,openstreetmap,node/8204492025,https://www.openstreetmap.org/node/8204492025
松島町温水プール 美遊,松島町温水プール美遊,宮城県,,,,38.3951109,141.0721795,,,,openstreetmap,node/8276918921,https://www.openstreetmap.org/node/8276918921
ひまわり温泉 花おりの湯,ひまわり温泉花おりの湯,宮城県,,,,38.5170395,140.9145614,,,,openstreetmap,node/8419651631,https://www.openstreetmap.org/node/8419651631
豆坂温泉 三峰荘,豆坂温泉三峰荘,宮城県,,,,38.5348203,140.9327145,+81 229 52 3146,,,openstreetmap,node/8419827818,https://www.openstreetmap.org/node/8419827818
酵素スパマシャ,酵素スパマシャ,宮城県,,,,38.4358796,141.2741154,,,,openstreetmap,node/8475015817,https://www.openstreetmap.org/node/8475015817
プライベートサウナノエル,プライベートサウナノエル,宮城県,,,,38.085795,140.8332016,,https://www.sauna-noel.com/,"Mo,Su 10:00-20:00; Tu-Sa 10:00-22:00",openstreetmap,node/12287627525,https://www.openstreetmap.org/node/12287627525
ドーミーインEXPRESS仙台シーサイド,ドーミーインexpress仙台シーサイド,宮城県,,宮城県 仙台市宮城野区中野3-4-9,,38.2705407,140.9897672,+81 22 388 5489,https://dormy-hotels.com/dormyinn/hotels/sendai_ex/,,openstreetmap,way/696612945,https://www.openstreetmap.org/way/696612945
