name,normalized_name,prefecture,city,address,postal_code,latitude,longitude,phone_number,website_url,opening_hours,source,source_id,source_url
旭湯,旭湯,大阪府,堺市,大阪府堺市東区日置荘西町3丁87,599-8114,34.5408886,135.5293569,,,15:00-23:00; We off,openstreetmap,node/10285799628,https://www.openstreetmap.org/node/10285799628
御宿 野乃 大阪淀屋橋,御宿野乃大阪淀屋橋,大阪府,,北浜二丁目519,,34.6918209,135.5048488,,https://dormy-hotels.com/dormyinn/hotels/nono_yodoyabashi/,,openstreetmap,node/11057202805,https://www.openstreetmap.org/node/11057202805
花園温泉 sauna kukka,花園温泉saunakukka,大阪府,,,,34.6727892,135.635122,,,,openstreetmap,node/11436588869,https://www.openstreetmap.org/node/11436588869
大阪サウナDESSE,大阪サウナdesse,大阪府,,,,34.6762994,135.5015418,,,,openstreetmap,node/11436588969,https://www.openstreetmap.org/node/11436588969
天然温泉光 野里の湯,天然温泉光野里の湯,大阪府,,,,34.7110081,135.462485,,,We-Mo 14:00-00:00,openstreetmap,node/11508473669,https://www.openstreetmap.org/node/11508473669
住吉温泉,住吉温泉,大阪府,,,,34.7091393,135.4635952,,,Su-Fr 15:00-00:00,openstreetmap,node/11508481469,https://www.openstreetmap.org/node/11508481469
ヘルシーバス松の湯,ヘルシーバス松の湯,大阪府,,,,34.7045935,135.4600051,,,Su-Fr 15:30-23:00,openstreetmap,node/11508493869,https://www.openstreetmap.org/node/11508493869
錦湯,錦湯,大阪府,,,,34.7041779,135.4415838,,,Su-Fr 15:00-23:00,openstreetmap,node/11508505569,https://www.openstreetmap.org/node/11508505569
青山温泉,青山温泉,大阪府,,,,34.7390693,135.4873124,,,Sa-Th 14:00-23:00,openstreetmap,node/11508580469,https://www.openstreetmap.org/node/11508580469
三宝湯,三宝湯,大阪府,,,,34.7515809,135.5486039,,,Tu-Su 15:00-00:00,openstreetmap,node/11508596469,https://www.openstreetmap.org/node/11508596469
新菊水温泉,新菊水温泉,大阪府,,,,34.7442247,135.5356031,,,Sa-Th 15:00-00:00,openstreetmap,node/11508607869,https://www.openstreetmap.org/node/11508607869
ジャブジャブランド浪華温泉,ジャブジャブランド浪華温泉,大阪府,,,,34.6817033,135.4471179,,,Fr-We 15:00-22:30,openstreetmap,node/11554299571,https://www.openstreetmap.org/node/11554299571
庚申湯,庚申湯,大阪府,,,,34.6874654,135.447906,,,Mo-Su 15:00-22:00,openstreetmap,node/11554364671,https://www.openstreetmap.org/node/11554364671
延命湯,延命湯,大阪府,,,,34.6961935,135.4863784,,,We-Mo 16:00-22:00,openstreetmap,node/11554365569,https://www.openstreetmap.org/node/11554365569
日之出温泉,日之出温泉,大阪府,,,,34.6968829,135.4778434,,,"Tu, Th-Su 16:00-23:00",openstreetmap,node/11555526669,https://www.openstreetmap.org/node/11555526669
宝栄湯,宝栄湯,大阪府,,,,34.6933239,135.4791079,,,We-Mo 15:40-22:00,openstreetmap,node/11555541269,https://www.openstreetmap.org/node/11555541269
八坂温泉,八坂温泉,大阪府,,,,34.6924405,135.4697499,,,Fr-We 14:00-01:00,openstreetmap,node/11555542970,https://www.openstreetmap.org/node/11555542970
栄湯,栄湯,大阪府,,,,34.6878245,135.4744912,,,Tu-Su 14:00-00:00,openstreetmap,node/11555851369,https://www.openstreetmap.org/node/11555851369
出世温泉,出世温泉,大阪府,,,,34.7026193,135.4811173,,,Tu-Su 15:00-23:00,openstreetmap,node/11555851370,https://www.openstreetmap.org/node/11555851370
浪華温泉,浪華温泉,大阪府,,,,34.7280049,135.5279153,,,Sa-Th 16:00-23:00,openstreetmap,node/11555851371,https://www.openstreetmap.org/node/11555851371
新旭温泉,新旭温泉,大阪府,,,,34.7193907,135.5319136,,,Tu-Su 14:00-23:30,openstreetmap,node/11555851372,https://www.openstreetmap.org/node/11555851372
