name,normalized_name,prefecture,city,address,postal_code,latitude,longitude,phone_number,website_url,opening_hours,source,source_id,source_url
コスタリゾート飯能,コスタリゾート飯能,埼玉県,,,,35.853783,139.3216514,,,,openstreetmap,node/3761623787,https://www.openstreetmap.org/node/3761623787
西武秩父駅前温泉 祭の湯,西武秩父駅前温泉祭の湯,埼玉県,,,,35.9903912,139.0836665,,,,openstreetmap,node/5907862485,https://www.openstreetmap.org/node/5907862485
広の湯,広の湯,埼玉県,,,,35.8111266,139.7386801,,,Tu-Su 14:00-23:00,openstreetmap,node/6412087986,https://www.openstreetmap.org/node/6412087986
ふくの湯,ふくの湯,埼玉県,,,,35.7975536,139.7372912,,,Mo-Su 12:00-00:00,openstreetmap,node/6412087987,https://www.openstreetmap.org/node/6412087987
元郷湯,元郷湯,埼玉県,,,,35.7994261,139.7314049,,,We-Mo 14:30-00:00,openstreetmap,node/6412094787,https://www.openstreetmap.org/node/6412094787
末広湯,末広湯,埼玉県,,,,35.8723977,139.5164877,,,We-Sa 15:00-21:00,openstreetmap,node/6822831885,https://www.openstreetmap.org/node/6822831885
あづま湯,あづま湯,埼玉県,,,,35.7970697,139.602025,,,Sa-Th 15:00-23:30,openstreetmap,node/6847978799,https://www.openstreetmap.org/node/6847978799
健康湯ランド,健康湯ランド,埼玉県,,,,35.848912,139.5333624,,,Tu-Su 14:30-23:00,openstreetmap,node/6979666186,https://www.openstreetmap.org/node/6979666186
翁湯,翁湯,埼玉県,,,,35.8674785,139.5129151,,,Sa-Th 15:30-23:00,openstreetmap,node/7156420085,https://www.openstreetmap.org/node/7156420085
サン光湯,サン光湯,埼玉県,,,,35.8113555,139.6821698,,,Fr-We 15:30-00:00,openstreetmap,node/7507431885,https://www.openstreetmap.org/node/7507431885
健晃湯,健晃湯,埼玉県,,,,35.8048825,139.6839458,,,Th-Tu 15:00-23:30,openstreetmap,node/7507431985,https://www.openstreetmap.org/node/7507431985
冨美の湯,冨美の湯,埼玉県,,,,35.8482214,139.6891482,,,Sa-Th 15:00-22:15,openstreetmap,node/7677203685,https://www.openstreetmap.org/node/7677203685
いわつき温泉ジャンボ,いわつき温泉ジャンボ,埼玉県,,,,35.9485759,139.6968269,,,Th-Tu 14:00-20:00,openstreetmap,node/7680158585,https://www.openstreetmap.org/node/7680158585
ニュー松の湯,ニュー松の湯,埼玉県,,,,35.8323171,139.6954216,,,We-Mo 15:00-23:30,openstreetmap,node/7687652585,https://www.openstreetmap.org/node/7687652585
喜楽湯,喜楽湯,埼玉県,,,,35.8077956,139.7092579,,,Mo-Su 15:00-23:00,openstreetmap,node/7777266985,https://www.openstreetmap.org/node/7777266985
GOLD'S GYM,gold'sgym,埼玉県,,,,35.8783136,139.8440896,+81 48 984 5930,https://www.goldsgym-ys.com,"Mo-We,Fr 10:00-23:00;Sa 10:00-22:00; Su 10:00-21:00; PH 10:00-21:00",openstreetmap,node/9932028075,https://www.openstreetmap.org/node/9932028075
朝霞サウナ 和,朝霞サウナ和,埼玉県,,,,35.7958558,139.5996882,+81 48 451 3317,https://asaka-sauna-nagomi.com/,Mo-Su 06:00-00:00,openstreetmap,node/11844686324,https://www.openstreetmap.org/node/11844686324
ととのい+,ととのい+,埼玉県,,,,35.9096047,139.6237568,,,,openstreetmap,node/12290618320,https://www.openstreetmap.org/node/12290618320
アスリエ所沢,アスリエ所沢,埼玉県,,,,35.7916027,139.4675187,,,,openstreetmap,node/13306119730,https://www.openstreetmap.org/node/13306119730
リトデポ,リトデポ,埼玉県,,,,35.9014389,139.625065,,,11:00-21:00,openstreetmap,node/13667699839,https://www.openstreetmap.org/node/13667699839
TOTONOU private sauna&O2 Capsule Bluesky,totonouprivatesauna&o2capsulebluesky,埼玉県,,,,36.1433631,139.4596433,,,,openstreetmap,node/13892520110,https://www.openstreetmap.org/node/13892520110
極楽湯 和光店,極楽湯和光店,埼玉県,,,,35.7687244,139.6194448,,,"Mo-Su,PH 09:00-02:00",openstreetmap,way/157360144,https://www.openstreetmap.org/way/157360144
蔵の湯 東松山店,蔵の湯東松山店,埼玉県,,,,36.0238163,139.4197509,,,,openstreetmap,way/426506245,https://www.openstreetmap.org/way/426506245
秩父温泉 満願の湯,秩父温泉満願の湯,埼玉県,,,,36.0824347,139.0722649,+81 494 62 3026,https://www.chichibuonsen.co.jp/,"Mo-Su,PH 10:00-21:00",openstreetmap,way/675900375,https://www.openstreetmap.org/way/675900375
おふろの王様 志木店,おふろの王様志木店,埼玉県,,,,35.8438526,139.5845926,,,,openstreetmap,way/713842956,https://www.openstreetmap.org/way/713842956
