name,normalized_name,prefecture,city,address,postal_code,latitude,longitude,phone_number,website_url,opening_hours,source,source_id,source_url
久の湯,久の湯,東京都,,,,35.7557723,139.8268281,,,Fr-We 15:30-24:00,openstreetmap,node/2290237204,https://www.openstreetmap.org/node/2290237204
観音湯,観音湯,東京都,,,,35.5540204,139.73576,,,Mo-Su 16:00-23:30,openstreetmap,node/3794330089,https://www.openstreetmap.org/node/3794330089
稲荷湯,稲荷湯,東京都,,,,35.6528149,139.3411829,042-642-2825,https://www.city.hachioji.tokyo.jp/seikatsu/ofuro/001783.html,Th-Tu 14:00-23:30,openstreetmap,node/4511460990,https://www.openstreetmap.org/node/4511460990
京王高尾山温泉 極楽湯,京王高尾山温泉極楽湯,東京都,,,,35.6321158,139.2692724,+81 42 663 4126,https://www.takaosan-onsen.jp/,"Mo-Su,PH 08:00-22:30",openstreetmap,node/4554760789,https://www.openstreetmap.org/node/4554760789
ふれあいの湯,ふれあいの湯,東京都,,,,33.0758082,139.790307,,,,openstreetmap,node/4840930622,https://www.openstreetmap.org/node/4840930622
イーストランド,イーストランド,東京都,江戸川区,東京都江戸川区西篠崎二丁目231,,35.7112146,139.8970407,+81-3-3670-0945,https://eastland.jp/,Tu-Su 14:30-23:00,openstreetmap,node/4887485021,https://www.openstreetmap.org/node/4887485021
上野サウナ風呂,上野サウナ風呂,東京都,,,,35.7102901,139.7761144,,,,openstreetmap,node/5114812100,https://www.openstreetmap.org/node/5114812100
桜館,桜館,東京都,,,,35.5684999,139.7032184,,http://sakurakan.biz/bath/,Mo-Su 12:00-01:00,openstreetmap,node/5262948482,https://www.openstreetmap.org/node/5262948482
宮下湯,宮下湯,東京都,,,,35.7318745,139.73774,,,Fr-We 15:00-00:00,openstreetmap,node/5310036380,https://www.openstreetmap.org/node/5310036380
サウナ大番,サウナ大番,東京都,,,,35.7116088,139.7785362,,,,openstreetmap,node/5444813481,https://www.openstreetmap.org/node/5444813481
巣鴨湯,巣鴨湯,東京都,,,,35.7384329,139.7301167,,,Sa-Th 16:00-00:30,openstreetmap,node/5925538486,https://www.openstreetmap.org/node/5925538486
