original_name,source_id,source_url,reason
女性専用岩盤浴 えいむ,node/2216195061,https://www.openstreetmap.org/node/2216195061,岩盤浴・ホットヨガのみの可能性があります
松島湯(ハートにジャストミート)　930507,node/4851156092,https://www.openstreetmap.org/node/4851156092,施設名に編集メモまたは管理用文字列が含まれています
かつの湯(ハートにジャストミート)　930507,node/4851156093,https://www.openstreetmap.org/node/4851156093,施設名に編集メモまたは管理用文字列が含まれています
三光湯(閉業),node/4963007749,https://www.openstreetmap.org/node/4963007749,施設名に閉店・廃業を示す表記があります
,node/6050779485,https://www.openstreetmap.org/node/6050779485,施設名がありません
泉湯(跡),node/6435175285,https://www.openstreetmap.org/node/6435175285,施設名に閉店・廃業を示す表記があります
宝湯(跡),node/6435668986,https://www.openstreetmap.org/node/6435668986,施設名に閉店・廃業を示す表記があります
ゆートピア(廃業),node/6435669486,https://www.openstreetmap.org/node/6435669486,施設名に閉店・廃業を示す表記があります
秀月湯(廃業),node/6436146387,https://www.openstreetmap.org/node/6436146387,施設名に閉店・廃業を示す表記があります
橘湯(廃業),node/6436148185,https://www.openstreetmap.org/node/6436148185,施設名に閉店・廃業を示す表記があります
モダンバス(廃業),node/6437763487,https://www.openstreetmap.org/node/6437763487,施設名に閉店・廃業を示す表記があります
竜の湯(跡),node/6461929585,https://www.openstreetmap.org/node/6461929585,施設名に閉店・廃業を示す表記があります
,node/8108068218,https://www.openstreetmap.org/node/8108068218,施設名がありません
第二寿美の湯(跡),node/9858170618,https://www.openstreetmap.org/node/9858170618,施設名に閉店・廃業を示す表記があります
,node/10139561636,https://www.openstreetmap.org/node/10139561636,施設名がありません
,node/10585337805,https://www.openstreetmap.org/node/10585337805,施設名がありません
,node/12677043522,https://www.openstreetmap.org/node/12677043522,施設名がありません
,node/14006138447,https://www.openstreetmap.org/node/14006138447,施設名がありません
