name,normalized_name,prefecture,city,address,postal_code,latitude,longitude,phone_number,website_url,opening_hours,source,source_id,source_url
朝日湯,朝日湯,富山県,,富山市堀川小泉町1-232,,36.6758765,137.2196819,,,Th-Tu 14:00-22:30,openstreetmap,node/11494590269,https://www.openstreetmap.org/node/11494590269
いなり鉱泉,いなり鉱泉,富山県,,富山市稲荷元町3-11-36,,36.699275,137.2275456,,,Mo-Su 11:00-23:00,openstreetmap,node/11494590469,https://www.openstreetmap.org/node/11494590469
入舟湯,入舟湯,富山県,,富山市長江本町17-8,,36.6855173,137.2415772,,,We-Mo 13:00-23:00,openstreetmap,node/11494590569,https://www.openstreetmap.org/node/11494590569
荏原鉱泉,荏原鉱泉,富山県,,富山市荏原53-52,,36.696909,137.2657029,,,Tu-Sa 12:00-21:30,openstreetmap,node/11494777269,https://www.openstreetmap.org/node/11494777269
開発鉱泉,開発鉱泉,富山県,,富山市月見町4-66,,36.6295182,137.2445281,,,Tu-Su 13:00-22:30,openstreetmap,node/11494777270,https://www.openstreetmap.org/node/11494777270
島倉乃湯,島倉乃湯,富山県,,富山市長柄町3-6-6,,36.6851423,137.2051982,,,Fr-We 14:00-22:30,openstreetmap,node/11495872569,https://www.openstreetmap.org/node/11495872569
白岩の湯,白岩の湯,富山県,,富山市水橋畠等297,,36.7473719,137.3078573,,,Fr-We 10:00-22:30,openstreetmap,node/11495872570,https://www.openstreetmap.org/node/11495872570
高原鉱泉,高原鉱泉,富山県,,富山市高屋敷419,,36.6736978,137.2418918,,,Tu-Su 14:00-00:00,openstreetmap,node/11495872571,https://www.openstreetmap.org/node/11495872571
たから湯,たから湯,富山県,,,,36.6942589,137.221387,,,We-Mo 14:00-21:00,openstreetmap,node/11495872572,https://www.openstreetmap.org/node/11495872572
竹の湯,竹の湯,富山県,,,,36.7095527,137.2170534,,,Tu-Su 13:30-22:00,openstreetmap,node/11495872573,https://www.openstreetmap.org/node/11495872573
辰尾鉱泉,辰尾鉱泉,富山県,,,,36.6258921,137.21577,,,Sa-Th 13:00-21:00,openstreetmap,node/11495923569,https://www.openstreetmap.org/node/11495923569
立山鉱泉,立山鉱泉,富山県,,,,36.7198244,137.2207392,,,We-Mo 12:00-21:30,openstreetmap,node/11495923669,https://www.openstreetmap.org/node/11495923669
光明石温泉 久乃家,光明石温泉久乃家,富山県,,,,36.7554131,137.2972704,,,We-Mo 12:30-21:30,openstreetmap,node/11495983469,https://www.openstreetmap.org/node/11495983469
マルトミ鉱泉,マルトミ鉱泉,富山県,,,,36.7121213,137.1718166,,,Sa-Th 14:00-22:30,openstreetmap,node/11496075770,https://www.openstreetmap.org/node/11496075770
プラ座ゆ,プラ座ゆ,富山県,,,,36.6649281,137.2177545,,,Mo-Su 12:00-22:30,openstreetmap,node/11496076670,https://www.openstreetmap.org/node/11496076670
平成松の湯,平成松の湯,富山県,,,,36.8196084,137.4037393,,,Tu-Su 13:00-23:00,openstreetmap,node/11496181871,https://www.openstreetmap.org/node/11496181871
観音湯,観音湯,富山県,,,,36.941101,137.504461,,,Th-Tu 14:00-22:00,openstreetmap,node/11496182069,https://www.openstreetmap.org/node/11496182069
赤坂光泉,赤坂光泉,富山県,,,,36.7943155,137.0558311,,,Su-Fr 14:00-21:00,openstreetmap,node/11496182070,https://www.openstreetmap.org/node/11496182070
ひかりランド 南星の湯,ひかりランド南星の湯,富山県,,,,36.7349724,136.9971044,,,Mo-Su 14:00-23:30,openstreetmap,node/11496366569,https://www.openstreetmap.org/node/11496366569
日の出湯,日の出湯,富山県,,,,36.7537187,137.0173544,,,Mo-Su 13:00-22:30,openstreetmap,node/11496370769,https://www.openstreetmap.org/node/11496370769
ひかりランド 福野,ひかりランド福野,富山県,,,,36.5924176,136.9302448,,,We-Mo 13:30-22:30,openstreetmap,node/11496614569,https://www.openstreetmap.org/node/11496614569
ひかりランド 小矢部,ひかりランド小矢部,富山県,,,,36.6697505,136.860661,,,Tu-Su 13:00-22:30,openstreetmap,node/11496614669,https://www.openstreetmap.org/node/11496614669
柳湯,柳湯,富山県,,,,36.5748206,136.9824602,,,We-Mo 15:00-22:00,openstreetmap,node/11496614670,https://www.openstreetmap.org/node/11496614670
パラダイス,パラダイス,富山県,,,,36.7466079,137.0346142,,,Tu-Su 12:00-23:00,openstreetmap,node/11496663269,https://www.openstreetmap.org/node/11496663269
