name,normalized_name,prefecture,city,address,postal_code,latitude,longitude,phone_number,website_url,opening_hours,source,source_id,source_url
長沼温泉ぽっぽの湯,長沼温泉ぽっぽの湯,山形県,,,,38.7974759,139.8752357,,,,openstreetmap,node/4865434724,https://www.openstreetmap.org/node/4865434724
共同浴場 せみの湯,共同浴場せみの湯,山形県,,,,38.7544465,140.4124719,,,,openstreetmap,node/5013424931,https://www.openstreetmap.org/node/5013424931
真室川温泉 梅里苑,真室川温泉梅里苑,山形県,,,,38.8670129,140.2813472,+81 233 62 3731,,,openstreetmap,node/5019608345,https://www.openstreetmap.org/node/5019608345
新真室川温泉,新真室川温泉,山形県,,,,38.8956554,140.2591668,,,,openstreetmap,node/5019614137,https://www.openstreetmap.org/node/5019614137
湯野浜温泉 上区公衆浴場,湯野浜温泉上区公衆浴場,山形県,鶴岡市,山形県鶴岡市湯野浜1丁目6,997-1201,38.7776141,139.7496245,,,,openstreetmap,node/5038255934,https://www.openstreetmap.org/node/5038255934
ゆざ温泉,ゆざ温泉,山形県,,,,38.5263817,140.376485,,,,openstreetmap,node/5057859342,https://www.openstreetmap.org/node/5057859342
左沢温泉,左沢温泉,山形県,,,,38.3831095,140.2128354,,,,openstreetmap,node/5106801338,https://www.openstreetmap.org/node/5106801338
白鷹温泉,白鷹温泉,山形県,,,,38.2214343,140.1049642,,,,openstreetmap,node/5108874140,https://www.openstreetmap.org/node/5108874140
中湯共同浴場,中湯共同浴場,山形県,,,,38.1564734,140.2781358,,,,openstreetmap,node/5130420632,https://www.openstreetmap.org/node/5130420632
かみのやま温泉 下大湯,かみのやま温泉下大湯,山形県,,,,38.1583193,140.2783818,,,,openstreetmap,node/5132386126,https://www.openstreetmap.org/node/5132386126
湯町の足湯,湯町の足湯,山形県,,,,38.1607634,140.2761678,,,,openstreetmap,node/5132411241,https://www.openstreetmap.org/node/5132411241
湯町共同浴場 ゆまちの湯,湯町共同浴場ゆまちの湯,山形県,,,,38.1606277,140.2757039,,,,openstreetmap,node/5132411242,https://www.openstreetmap.org/node/5132411242
二日町共同浴場,二日町共同浴場,山形県,,,,38.1538691,140.2742913,,,Mo-Su 06:30-21:30,openstreetmap,node/5132588632,https://www.openstreetmap.org/node/5132588632
葉山共同浴場,葉山共同浴場,山形県,,,,38.1488398,140.2636169,,,,openstreetmap,node/5132588636,https://www.openstreetmap.org/node/5132588636
